id,name,cuisine,address,phone
accra-bronx,Accra,West African,"2041 Davidson Ave, Bronx, NY 10453",(718) 584-8500
adulis-houston,Adulis,Eritrean,"5800 Bellaire Blvd #102, Houston, TX 77081",(346) 571-0966
african-village-ethiopian-restaurant-san-antonio,African Village Ethiopian restaurant,Ethiopian,"10918 Wurzbach Rd #131, San Antonio, TX 78230",(210) 467-5102
afro-caribbean-grill,Afro Caribbean Grill,African,"1903 Blodgett St, Houston, TX 77004",+1 713-804-2764
afrospice-bistro-bronx,AfroSpice BisTro,African,"549 Commonwealth Ave, Bronx, NY 10473",(718) 535-8686
all-african-cuisines-santa-ana,All African Cuisines,African,"325 N Tustin Ave, Santa Ana, CA 92705",(949) 556-6748
hou-sta-005,Amala Zone,Nigerian / Grill,"14815 Westheimer Rd, Houston, TX 77082",(281) 741-2661
amaye-international-restaurant-portland,AMAYE International Restaurant,African,"8000 NE Glisan St, Portland, OR 97213",(503) 252-0264
bliss-africa-davie,Bliss Africa,African,"6305 Stirling Rd, Davie, FL 33314",(954) 316-8618
cafe-de-vivre-houston,Cafe De Vivre,West African,"14165 Bissonnet St Suite P, Houston, TX 77083",(832) 665-7757
hou-sta-007,Chef Benny,Nigerian / Comfort Food,"10010 Bissonnet St, Houston, TX 77036",(832) 834-3127
d-salam-african-cuisine-new-york,D. Salam African Cuisine,West African,"89 Canal St, New York, NY 10002",(646) 879-4537
dammney-s-kitchen-morton-grove,Dammney’s Kitchen,West African,"9412 Waukegan Rd, Morton Grove, IL 60053",(224) 770-7071
dee-titolat-african-restaurant-houston,Dee Titolat African Restaurant,African,"11965 Bissonnet St STE 110, Houston, TX 77099",(281) 372-6173
ewatomi-houston,Ewatomi,West African,"15000 Bellaire Blvd ste q, Houston, TX 77083",(346) 433-9338
fufudelight-suya-kitchen-arlington,Fufudelight& Suya Kitchen,West African,"6401 New York Ave # 149, Arlington, TX 76018",(817) 896-3372
grill-master-african-restaurant-houston,Grill master African Restaurant,African,"9755 S Kirkwood Rd D, Houston, TX 77099",(346) 491-5054
guinea-conakry-austin,Guinea Conakry,African,"318 E 5th St., Austin, TX 78701",
harar-ethiopian-restaurant-houston,Harar Ethiopian Restaurant,Ethiopian,"5506 Bellaire Blvd ste c, Houston, TX 77081",(713) 485-0378
hou-008,Helen's Kitchen,Jamaican,"14608 S Post Oak Rd, Houston, TX 77045",(713) 413-9022
international-delicious-kitchen-columbus,International Delicious Kitchen .,African,"5763 Karl Rd, Columbus, OH 43229",(614) 396-7795
island-style-east-cleveland,Island Style,Jamaican,"2144 Noble Rd, East Cleveland, OH 44112",(216) 851-4500
k-y-d-restaurant-mirage-brooklyn,Káyọ̀dé Restaurant Mirage,African,"563 E 26th St, Brooklyn, NY 11210",(347) 240-2710
kenna-houston,Kenna,Ethiopian,"6121 Hillcroft Ave c1, Houston, TX 77081",(346) 319-5845
kente-caf-salt-lake-city,Kente Café,African,"751 W 800 S, Salt Lake City, UT 84104",(385) 237-4642
oak-lala-eritrean,Lala's Eritrean,Eritrean,"4069 Telegraph Ave, Oakland, CA 94609",(510) 547-4520
mama-j-nigerian-restaurant-marietta,Mama J Nigerian Restaurant,Nigerian,"1482 Roswell Rd, Marietta, GA 30062",(404) 587-4419
mega-suya-bar-grill-indianapolis,Mega Suya Bar & Grill,African,"3081 N High School Rd, Indianapolis, IN 46224",(317) 672-6186
mogadishu-restaurant-chicago,Mogadishu Restaurant,East African,"931 N Orleans St, Chicago, IL 60610",(312) 265-1850
nathmary-kitchen-avon,NathMary Kitchen,African,"291 Shiloh Crossing Dr, Avon, IN 46123",(317) 440-3393
nazareth-cafe-houston,Nazareth Cafe,Ethiopian,"6617 Chimney Rock Rd, Houston, TX 77081",(713) 218-9883
nicos-lounge-restaurant-and-bar-nashville,Nico's Lounge Restaurant and Bar,African,"4750 Nolensville Pk, Nashville, TN 37211",(615) 835-2966
nigeria-kitchen-llc-wake-forest,Nigeria Kitchen LLC,African,"11016 Capital Blvd, Wake Forest, NC 27587",(786) 665-4906
nini-kitchen-houston,Nini Kitchen,West African,"7627 Cook Rd, Houston, TX 77072",(832) 235-8526
noor-somali-restaurant-salt-lake-city,Noor Somali Restaurant,Somali,"1151 S Redwood Rd Suite 108, Salt Lake City, UT 84104",(801) 975-6356
ponti-ivorian-houston,Ponti's Ivorian Kitchen,Ivorian,"12450 Westheimer Rd, Houston, TX 77077",(281) 506-7935
primo-african-quisine-cleveland,Primo African Quisine,African,"2123 E 2nd St, Cleveland, OH 44115",(216) 400-6207
rodo-nigerian-cuisine-richmond,Rodo Nigerian Cuisine,Nigerian,"16805 Bissonnet St, Richmond, TX 77407",(281) 302-5274
saaraloges-kitchen-riverside,Saaraloge's Kitchen,West African,"11711 Collett Ave, Riverside, CA 92505",(951) 347-5726
safina-world-restaurant-columbus,Safina World Restaurant,African,"4431 Cleveland Ave, Columbus, OH 43231",(614) 532-6040
samoha-african-cuisine-charlotte,Samoha African Cuisine,African,"602 W Sugar Creek Rd #4, Charlotte, NC 28213",(980) 207-0826
sarabell-calabar-restaurant-buffet-houston,Sarabell Calabar Restaurant & Buffet,West African,"9801 Bissonnet St Suite C, Houston, TX 77036",(713) 814-5253
selam-houston,Selam,African,"5701 Bellaire Blvd d, Houston, TX 77081",(832) 790-3266
sheba-houston,Sheba,African,"6121 Hillcroft Ave Suite N, Houston, TX 77081",(713) 995-6768
somali-restaurant-syracuse,Somali Restaurant,Somali,"656 N Salina St, Syracuse, NY 13208",(315) 218-6025
taste-cleveland-heights,Taste,African,"2317 Lee Rd, Cleveland Heights, OH 44118",(216) 932-9100
taste-of-african-cuisine-san-diego,Taste of African Cuisine,East African,"5241 University Ave, San Diego, CA 92105",(619) 583-5788
taste-of-lagos-gibsonton,Taste Of Lagos,African,"11130 US-41, Gibsonton, FL 33534",(615) 968-4668
tfk-african-food-tampa,Tfk African food.,African,"5100 N Nebraska Ave, Tampa, FL 33603",(708) 735-5701
the-social-room-cleveland-heights,The Social Room,African,"2261 Lee Rd, Cleveland Heights, OH 44118",(216) 321-0736
traditional-food-restaurant-houston,Traditional Food Restaurant,African,"11214 Plainfield St # B, Houston, TX 77031",(713) 270-7610
unique-african-cuisine-houston,Unique African Cuisine,West African,"6101 Wilcrest Dr, Houston, TX 77072",(281) 575-1665
vertex-houston,Vertex,Ethiopian,"6580 Southwest Fwy Suite C, Houston, TX 77074",(281) 989-4399
west-african-way-plano,West African Way,West African,"1405 Jupiter Rd #116, Plano, TX 75074",(972) 424-2634
