id,name,cuisine,address,phone
nigeria-kitchen-llc-wake-forest,Nigeria Kitchen LLC,African,"11016 Capital Blvd, Wake Forest, NC 27587",(786) 665-4906
nigerian-suya-tinz-newark,NIGERIAN SUYA & TINZ,Nigerian,"382 Clinton Pl Apartment 3, Newark, NJ 07112",(973) 350-6339
nini-kitchen-houston,Nini Kitchen,West African,"7627 Cook Rd, Houston, TX 77072",(832) 235-8526
noor-somali-restaurant-salt-lake-city,Noor Somali Restaurant,Somali,"1151 S Redwood Rd Suite 108, Salt Lake City, UT 84104",(801) 975-6356
ponti-ivorian-houston,Ponti's Ivorian Kitchen,Ivorian,"12450 Westheimer Rd, Houston, TX 77077",(281) 506-7935
primo-african-quisine-cleveland,Primo African Quisine,African,"2123 E 2nd St, Cleveland, OH 44115",(216) 400-6207
phi-003,Quality Taste,Jamaican,"4002 Lancaster Ave, Philadelphia, PA 19104",(267) 634-6821
rodo-nigerian-cuisine-richmond,Rodo Nigerian Cuisine,Nigerian,"16805 Bissonnet St, Richmond, TX 77407",(281) 302-5274
saaraloges-kitchen-riverside,Saaraloge's Kitchen,West African,"11711 Collett Ave, Riverside, CA 92505",(951) 347-5726
safina-world-restaurant-columbus,Safina World Restaurant,African,"4431 Cleveland Ave, Columbus, OH 43231",(614) 532-6040
samoha-african-cuisine-charlotte,Samoha African Cuisine,African,"602 W Sugar Creek Rd #4, Charlotte, NC 28213",(980) 207-0826
sarabell-calabar-restaurant-buffet-houston,Sarabell Calabar Restaurant & Buffet,West African,"9801 Bissonnet St Suite C, Houston, TX 77036",(713) 814-5253
selam-houston,Selam,African,"5701 Bellaire Blvd d, Houston, TX 77081",(832) 790-3266
selam-ethiopian-eritrean-cuisine-orlando,Selam Ethiopian & Eritrean Cuisine,Ethiopian,"5494 Central Florida Pkwy, Orlando, FL 32821",(407) 778-3119
sheba-houston,Sheba,African,"6121 Hillcroft Ave Suite N, Houston, TX 77081",(713) 995-6768
somali-halal-store-mechanicsburg,Somali Halal store,Somali,"5247 Simpson Ferry Rd, Mechanicsburg, TX 17050",
somali-restaurant-syracuse,Somali Restaurant,Somali,"656 N Salina St, Syracuse, NY 13208",(315) 218-6025
lax-001,Status Hollywood,Upscale Jamaican,"1612 N Cahuenga Blvd, Los Angeles, CA 90028",(323) 450-9311
street-suya-dallas,Street Suya,African,"1499 Regal Row, Dallas, TX 75247",(469) 319-1228
streetgrillz-windsor-on-n8w-3t6,StreetGrillz Windsor,African,"4185 Walker Rd #100, Windsor, ON N8W 3T6,  ",+1 226-260-4850
bos-002,Suya Joint,Nigerian,"185 Dudley St, Boston, MA 02119",(617) 708-0245
taste-cleveland-heights,Taste,African,"2317 Lee Rd, Cleveland Heights, OH 44118",(216) 932-9100
taste-of-african-cuisine-san-diego,Taste of African Cuisine,East African,"5241 University Ave, San Diego, CA 92105",(619) 583-5788
taste-of-lagos-gibsonton,Taste Of Lagos,African,"11130 US-41, Gibsonton, FL 33534",(615) 968-4668
tfk-african-food-tampa,Tfk African food.,African,"5100 N Nebraska Ave, Tampa, FL 33603",(708) 735-5701
the-social-room-cleveland-heights,The Social Room,African,"2261 Lee Rd, Cleveland Heights, OH 44118",(216) 321-0736
traditional-food-restaurant-houston,Traditional Food Restaurant,African,"11214 Plainfield St # B, Houston, TX 77031",(713) 270-7610
unique-african-cuisine-houston,Unique African Cuisine,West African,"6101 Wilcrest Dr, Houston, TX 77072",(281) 575-1665
vees-brooklyn,Vee's,Jamaican,"896 Nostrand Ave, Brooklyn, NY 11225",(718) 363-3826
vertex-houston,Vertex,Ethiopian,"6580 Southwest Fwy Suite C, Houston, TX 77074",(281) 989-4399
atl-004,Virgil's Gullah Kitchen,Gullah Geechee / West African Roots,"822 Marietta St NW, Atlanta, GA 30318",(404) 228-4897
west-african-way-plano,West African Way,West African,"1405 Jupiter Rd #116, Plano, TX 75074",(972) 424-2634
